date,NFCICREDIT
1971-01-08,-1.114
1971-01-15,-1.116
1971-01-22,-1.119
1971-01-29,-1.124
1971-02-05,-1.131
1971-02-12,-1.141
1971-02-19,-1.154
1971-02-26,-1.171
1971-03-05,-1.193
1971-03-12,-1.219
1971-03-19,-1.251
1971-03-26,-1.288
1971-04-02,-1.33
1971-04-09,-1.376
1971-04-16,-1.427
1971-04-23,-1.481
1971-04-30,-1.536
1971-05-07,-1.592
1971-05-14,-1.646
1971-05-21,-1.698
1971-05-28,-1.746
1971-06-04,-1.789
1971-06-11,-1.827
1971-06-18,-1.856
1971-06-25,-1.878
1971-07-02,-1.892
1971-07-09,-1.896
1971-07-16,-1.892
1971-07-23,-1.878
1971-07-30,-1.856
1971-08-06,-1.826
1971-08-13,-1.79
1971-08-20,-1.748
1971-08-27,-1.702
1971-09-03,-1.654
1971-09-10,-1.605
1971-09-17,-1.557
1971-09-24,-1.512
1971-10-01,-1.472
1971-10-08,-1.436
1971-10-15,-1.407
1971-10-22,-1.385
1971-10-29,-1.37
1971-11-05,-1.364
1971-11-12,-1.366
1971-11-19,-1.375
1971-11-26,-1.392
1971-12-03,-1.416
1971-12-10,-1.447
1971-12-17,-1.484
1971-12-24,-1.525
1971-12-31,-1.571
1972-01-07,-1.62
1972-01-14,-1.671
1972-01-21,-1.724
1972-01-28,-1.778
1972-02-04,-1.831
1972-02-11,-1.883
1972-02-18,-1.933
1972-02-25,-1.981
1972-03-03,-2.026
1972-03-10,-2.067
1972-03-17,-2.105
1972-03-24,-2.14
1972-03-31,-2.171
1972-04-07,-2.198
1972-04-14,-2.222
1972-04-21,-2.243
1972-04-28,-2.262
1972-05-05,-2.279
1972-05-12,-2.295
1972-05-19,-2.31
1972-05-26,-2.326
1972-06-02,-2.342
1972-06-09,-2.36
1972-06-16,-2.38
1972-06-23,-2.402
1972-06-30,-2.428
1972-07-07,-2.456
1972-07-14,-2.486
1972-07-21,-2.52
1972-07-28,-2.556
1972-08-04,-2.594
1972-08-11,-2.634
1972-08-18,-2.675
1972-08-25,-2.715
1972-09-01,-2.754
1972-09-08,-2.792
