date,STLFSI4
1993-12-31,-0.2932
1994-01-07,-0.3688
1994-01-14,-0.1137
1994-01-21,-0.3458
1994-01-28,-0.2157
1994-02-04,-0.5166
1994-02-11,-0.3067
1994-02-18,-0.2985
1994-02-25,-0.2636
1994-03-04,-0.1986
1994-03-11,-0.2234
1994-03-18,-0.1442
1994-03-25,-0.2265
1994-04-01,-0.0987
1994-04-08,-0.0795
1994-04-15,-0.0242
1994-04-22,-0.1664
1994-04-29,-0.0893
1994-05-06,-0.3733
1994-05-13,-0.1427
1994-05-20,-0.059
1994-05-27,-0.1892
1994-06-03,-0.0482
1994-06-10,0.0345
1994-06-17,-0.1875
1994-06-24,-0.0887
1994-07-01,-0.1481
1994-07-08,0.0015
1994-07-15,-0.097
1994-07-22,-0.0747
1994-07-29,-0.2117
1994-08-05,-0.1307
1994-08-12,-0.3038
1994-08-19,-0.3431
1994-08-26,-0.3145
1994-09-02,-0.2008
1994-09-09,-0.2882
1994-09-16,-0.2855
1994-09-23,-0.3282
1994-09-30,-0.2089
1994-10-07,-0.225
1994-10-14,-0.0042
1994-10-21,-0.162
1994-10-28,-0.2043
1994-11-04,-0.1674
1994-11-11,-0.2419
1994-11-18,-0.4036
1994-11-25,-0.1928
1994-12-02,-0.1952
1994-12-09,-0.1898
1994-12-16,-0.2148
1994-12-23,-0.1589
1994-12-30,-0.0266
1995-01-06,-0.2695
1995-01-13,-0.0284
1995-01-20,-0.3564
1995-01-27,-0.3421
1995-02-03,-0.3619
1995-02-10,-0.4427
1995-02-17,-0.211
1995-02-24,-0.2466
1995-03-03,-0.1939
1995-03-10,-0.1119
1995-03-17,-0.2293
1995-03-24,-0.3531
1995-03-31,-0.4543
1995-04-07,-0.3191
1995-04-14,-0.279
1995-04-21,-0.2372
1995-04-28,-0.428
1995-05-05,-0.2888
1995-05-12,-0.1732
1995-05-19,-0.3627
1995-05-26,-0.3246
1995-06-02,-0.0851
1995-06-09,-0.2028
1995-06-16,-0.1592
1995-06-23,-0.1582
1995-06-30,-0.2664
1995-07-07,-0.2561
1995-07-14,-0.1304
1995-07-21,-0.4266
1995-07-28,-0.2794
1995-08-04,-0.2386
1995-08-11,-0.26
1995-08-18,-0.3684
1995-08-25,-0.2186
1995-09-01,-0.152
1995-09-08,-0.2421
1995-09-15,-0.3367
1995-09-22,-0.2837
1995-09-29,-0.4017
1995-10-06,-0.0674
1995-10-13,-0.2219
1995-10-20,-0.1952
1995-10-27,-0.1362
1995-11-03,-0.1992
1995-11-10,-0.3216
1995-11-17,-0.3265
1995-11-24,-0.4604
1995-12-01,-0.3111
1995-12-08,-0.3877
1995-12-15,-0.4082
1995-12-22,-0.2954
1995-12-29,-0.0631
1996-01-05,-0.4515
1996-01-12,-0.195
1996-01-19,-0.2164
1996-01-26,-0.3897
1996-02-02,-0.3648
1996-02-09,-0.2672
